Cluster ID,confidence_score,Id,product,seller name,quantity,price,price1,price2,territory,lastcolumn
546,0.565213495089273,1,"Eldon Base for stackable storage shelf, platinum",Muhammed MacIntyre,3,-213.25,38.94,35,Nunavut,Storage & Organization
170,0.565213495089273,2,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Barry French,293,457.81,208.16,68.02,Nunavut,Appliances
419,0.565213495089273,3,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Barry French,293,46.71,8.69,2.99,Nunavut,Binders and Binder Accessories
547,0.565213495089273,4,R380,Clay Rozendal,483,1198.97,195.99,3.99,Nunavut,Telephones and Communication
548,0.565213495089273,5,Holmes HEPA Air Purifier,Carlos Soltero,515,30.94,21.78,5.94,Nunavut,Appliances
549,0.565213495089273,6,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Carlos Soltero,515,4.43,6.64,4.95,Nunavut,Office Furnishings
351,0.565213495089273,7,"Angle-D Binders with Locking Rings, Label Holders",Carl Jackson,613,-54.04,7.3,7.72,Nunavut,Binders and Binder Accessories
177,0.565213495089273,8,"SAFCO Mobile Desk Side File, Wire Frame",Carl Jackson,613,127.7,42.76,6.22,Nunavut,Storage & Organization
550,0.565213495089273,9,"SAFCO Commercial Wire Shelving, Black",Monica Federle,643,-695.26,138.14,35,Nunavut,Storage & Organization
551,0.565213495089273,10,Xerox 198,Dorothy Badders,678,-226.36,4.98,8.33,Nunavut,Paper
552,0.5652135,11,Xerox 1980,Neola Schneider,807,-166.85,4.28,6.18,Nunavut,Paper
553,0.565213495089273,12,Advantus Map Pennant Flags and Round Head Tacks,Neola Schneider,807,-14.33,3.95,2,Nunavut,Rubber Bands
548,0.565213495089273,13,Holmes HEPA Air Purifier,Carlos Daly,868,134.72,21.78,5.94,Nunavut,Appliances
554,0.565213495089273,14,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Carlos Daly,868,114.46,47.98,3.61,Nunavut,Computer Peripherals
422,0.565213495089273,15,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Claudia Miner,933,-4.72,5.28,2.99,Nunavut,Binders and Binder Accessories
70,0.565213495089273,16,Ultra Commercial Grade Dual Valve Door Closer,Neola Schneider,995,782.91,39.89,3.04,Nunavut,Office Furnishings
162,0.565213495089273,17,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Allen Rosenblatt,998,93.8,15.74,1.39,Nunavut,Envelopes
555,0.565213495089273,18,Hon 4-Shelf Metal Bookcases,Sylvia Foulston,1154,440.72,100.98,26.22,Nunavut,Bookcases
556,0.565213495089273,19,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Sylvia Foulston,1154,-481.04,71.37,69,Nunavut,Tables
557,0.565213495089273,20,g520,Jim Radford,1344,-11.68,65.99,5.26,Nunavut,Telephones and Communication
222,0.565213495089273,21,LX 788,Jim Radford,1344,313.58,155.99,8.99,Nunavut,Telephones and Communication
558,0.565213495089273,22,Avery 52,Carlos Soltero,1412,26.92,3.69,0.5,Nunavut,Labels
233,0.565213495089273,23,Plymouth Boxed Rubber Bands by Plymouth,Carlos Soltero,1412,-5.77,4.71,0.7,Nunavut,Rubber Bands
